arXiv Subject Class,arXiv Code
Quantum Physics,quant-ph
Computer Science - Machine Learning,cs.LG
Statistics - Machine Learning,stat.ML
Computer Science - Artificial Intelligence,cs.AI
Computer Science - Neural and Evolutionary Computing,cs.NE
Computer Science - Emerging Technologies,cs.ET
Physics - Computational Physics,physics.comp-ph
Computer Science - Data Structures and Algorithms,cs.DS
Computer Science - Information Retrieval,cs.IR
Computer Science - Programming Languages,cs.PL
Condensed Matter - Disordered Systems and Neural Networks,cond-mat.dis-nn
High Energy Physics - Phenomenology,hep-ph
Computer Science - Information Theory,cs.IT
Condensed Matter - Statistical Mechanics,cond-mat.stat-mech
Computer Science - Hardware Architecture,cs.AR
Mathematics - Quantum Algebra,math.QA
Mathematical Physics,math-ph
"Computer Science - Distributed, Parallel, and Cluster Computing",cs.DC
Computer Science - Computer Vision and Pattern Recognition,cs.CV
Mathematics - Optimization and Control,math.OC
Condensed Matter - Quantum Gases,cond-mat.quant-gas
